file_name,total_tweets,india_specific_tweets,outside_india_tweets,india_specific_tweets_with_full_text,india_specific_tweets_without_full_text,india_full_text_tweet_india_users,india_full_text_tweet_outside_india_users
en_geo_2020-02-01,666429,53897,612532,26635,27262,5690,20022
en_geo_2020-02-02,976391,94229,882162,42621,51608,13777,26978
en_geo_2020-02-03,692588,26289,666299,12509,13780,3221,8864
en_geo_2020-02-04,671172,20589,650583,10207,10382,2737,7128
en_geo_2020-02-05,559953,11022,548931,5560,5462,1332,4026
en_geo_2020-02-06,624118,12688,611430,5912,6776,1147,4520
en_geo_2020-02-07,755645,18014,737631,8372,9642,1540,6504
en_geo_2020-02-08,706100,17129,688971,8695,8434,1132,7206
en_geo_2020-02-09,616382,26778,589604,12415,14363,1290,10696
en_geo_2020-02-10,628184,26749,601435,11997,14752,1683,9963
en_geo_2020-02-11,635276,26310,608966,12865,13445,2958,9465
en_geo_2020-02-12,556555,17678,538877,8510,9168,994,7175
en_geo_2020-02-13,615901,13033,602868,6674,6359,1407,5048
en_geo_2020-02-14,480031,16543,463488,8157,8386,1923,5894
en_geo_2020-02-15,398299,10825,387474,5506,5319,635,4672
en_geo_2020-02-16,464295,15066,449229,7685,7381,955,6452
en_geo_2020-02-17,438095,11357,426738,5724,5633,996,4554
en_geo_2020-02-18,481288,10602,470686,4660,5942,895,3599
en_geo_2020-02-19,460081,12171,447910,5107,7064,751,4176
en_geo_2020-02-20,384001,15737,368264,6176,9561,625,5358
en_geo_2020-02-21,466022,10038,455984,4339,5699,356,3791
en_geo_2020-02-22,480801,10368,470433,5286,5082,426,4657
en_geo_2020-02-23,603898,14670,589228,6578,8092,536,5810
en_geo_2020-02-24,1016716,23186,993530,10817,12369,432,10085
en_geo_2020-02-25,1625606,59797,1565809,31432,28365,393,30227
en_geo_2020-02-26,1994290,75504,1918786,39115,36389,1493,36449
en_geo_2020-02-27,3013030,91164,2921866,45501,45663,2317,41836
en_geo_2020-02-28,3422736,134855,3287881,65584,69271,1625,62160
en_geo_2020-02-29,2998791,92863,2905928,47437,45426,1084,45027
en_geo_2020-03-01,2584803,73241,2511562,31514,41727,1300,29087
en_geo_2020-03-02,2909366,149377,2759989,41676,107701,5023,34410
en_geo_2020-03-03,2647357,143280,2504077,60019,83261,12903,44624
en_geo_2020-03-04,2735497,198650,2536847,37502,161148,7633,28500
en_geo_2020-03-05,3381092,152464,3228628,75693,76771,11565,61332
en_geo_2020-03-06,3339643,99415,3240228,41384,58031,6066,33384
en_geo_2020-03-07,2993672,125126,2868546,61066,64060,5470,53522
en_geo_2020-03-08,2993063,77480,2915583,37759,39721,3891,32565
en_geo_2020-03-09,3927360,120400,3806960,57590,62810,9355,46170
en_geo_2020-03-10,3968110,125468,3842642,62231,63237,8678,51451
en_geo_2020-03-11,4132561,138384,3994177,65786,72598,10232,53184
en_geo_2020-03-12,5541928,175266,5366662,84161,91105,18361,62842
en_geo_2020-03-13,5773378,197328,5576050,98530,98798,25219,69791
en_geo_2020-03-14,4784870,169876,4614994,80510,89366,20655,56944
en_geo_2020-03-15,5446195,324184,5122011,151002,173182,25419,120584
en_geo_2020-03-16,5281726,211834,5069892,98950,112884,22533,72827
en_geo_2020-03-17,5809446,240764,5568682,106525,134239,26260,76057
en_geo_2020-03-18,3139258,114769,3024489,49460,65309,11237,36333
en_geo_2020-03-19,2414048,99515,2314533,47762,51753,10223,35801
en_geo_2020-03-20,2548900,140098,2408802,70031,70067,14286,53225
en_geo_2020-03-21,2238511,97639,2140872,47928,49711,14883,31047
en_geo_2020-03-22,4012103,256948,3755155,121905,135043,43149,73364
en_geo_2020-03-23,5786093,301224,5484869,131342,169882,40516,85361
en_geo_2020-03-24,5033571,345117,4688454,165419,179698,55802,103310
en_geo_2020-03-25,3858026,202119,3655907,95280,106839,28735,62885
en_geo_2020-03-26,5926178,359733,5566445,172621,187112,60331,104559
en_geo_2020-03-27,5596974,317328,5279646,140625,176703,48350,85687
en_geo_2020-03-28,5787674,349587,5438087,165852,183735,59679,98759
en_geo_2020-03-29,6532761,416665,6116096,198568,218097,72090,116989
en_geo_2020-03-30,6791900,472496,6319404,213217,259279,69404,133544
en_geo_2020-03-31,6729743,549946,6179797,247510,302436,87379,148298
en_geo_2020-04-01,6801467,454878,6346589,204018,250860,68029,126446
en_geo_2020-04-02,6690354,488918,6201436,202812,286106,68372,123775
en_geo_2020-04-03,6198290,408250,5790040,178518,229732,60808,108882
en_geo_2020-04-04,5472677,396623,5076054,186121,210502,63752,113851
en_geo_2020-04-05,6092290,427884,5664406,193752,234132,65198,119209
en_geo_2020-04-07,6970638,433122,6537516,198442,234680,59045,130517
en_geo_2020-04-06,6345645,389002,5956643,175666,213336,55691,111668
en_geo_2020-04-08,7141044,434119,6706925,186980,247139,56094,121524
